nombre;precio
Alubia blanca categoría extra Luengo 1 kg.;4.25
Espirales tricolor Carrefour 500 g.;1.26
Kétchup Classic Carrefour envase 1 kg.;2.45
Pasta fideuá Gallo 450 g.;1.44
Lenteja cocida categoría extra Luengo 400 g.;1.31
Pasta nidos de espinacas Classic Carrefour 500 g.;1.25
Hélices de lenteja roja Gallo Nature sin gluten 250 g.;2.09
Barrita de proteína de suero de leche y avena sabor chocolate Prozis 80 g.;1.37
Pasta macarrón rigatoni Garofalo 500 g.;1.81
Harina de trigo de fuerza Original Carrefour 1 kg.;1.13
Salsa basílico Barilla tarro 400 g.;3.15
Arroz para caldosos Sos 1 kg.;3.19
Mostaza original Prima sin gluten envase 265 g.;1.99
Salsa con setas Carrefour 140 g.;1.47
Lentejas cocidas al natural Carrefour 210 g.;0.7
Harina de fuerza de trigo Gallo 1 kg.;1.95
Tomate rallado Extra Carrefour 250 g.;1.77
Vinagre de vino blanco Ybarra 1 l.;1.13
Placas de lasaña y canelones frescas al huevo Carrefour Original 250 g.;1.72
Arroz salvaje y basmati para microondas Brillante pack de 2 unidades de 125 g.;1.99
Placas para lasaña extrafinas Gallo 224 g.;1.99
Alubia frijol negro Classic Carrefour 500 g.;1.25
Harina integral de trigo Classic Carrefour 1 kg.;1.12
Pasta penne ziti rigate Garofalo 500 g.;1.81
Arroz bomba categoría extra La Fallera 1 kg.;6.15
Vinagre de manzana filtrado ecológico Carrefour Bio 500 ml.;2.19
Cúrcuma molida Carrefour Classic 45 g.;0.98
Ajo congelado Carrefour 100 g.;2.09
Crema de vinagre balsámico de módena sin azúcar Vulpi sin gluten 400 ml.;2.15
Placas para canelones precocidas El Pavo 80 g.;1.36
Mostaza Heinz envase 220 ml.;2.45
Pasta maravilla Gallo 450 g.;1.44
Tomate frito con aceite de oliva virgen extra Carrefour pack de 3 briks de 390 g.;2.26
Sal marina en escamas Carrefour 125 g.;1.99
Ajo en polvo Carmencita sin gluten 60 g.;2.79
Arroz integral con quinoa para microondas Brillante pack de 2 unidades de 125 g.;1.69
Pisto fritada de verduras Hida 350 g.;2.19
Pasta tallarines linguine Bavette Nº 13 Barilla 500 g.;1.88
Arroz categoría extra La Fallera 2 kg.;1.57
Salsa para pizza al orégano Carrefour sin gluten tarro 300 g.;1.4
Salsa gaucha Ybarra sin gluten envase 300 ml.;2.45
Canela molida Carmencita sin gluten 43 g.;2.09
Salsa para patatas fritas Carrefour envase 355 g.;1.83
Garbanzo baby cocido Don Pedro 400 g.;1.92
Orégano Carmencita 8 g.;2.09
Salsa boloñesa Barilla sin gluten tarro 400 g.;4.79
Animales marinos Carrefour Kids 500 g.;0.81
Girasoles de queso de cabra y cebolla caramelizada Carrefour Selección 250 g.;2.45
Tomate frito ecológico Carrefour Bio sin gluten tarro 340 g.;2.25
Salsa Fresca Trufa Carrefour 140 g.;1.29
Pasta Spaghettoni nº 7 Barilla 500 g.;1.88
Pasta tiburón nº 1 Gallo 450 g.;1.44
Harina de avena integral Carrefour 500 g.;1.32
Aceite de oliva virgen extra picual Carbonell 1 l.;8.29
Salsa argelina Carrefour envase 355 g.;1.31
Salsa tres quesos Classic Carrefour sin gluten tarro 300 g.;1.4
Salsa Ligeresa sin lactosa 580 ml.;3.59
Vinagre balsámico de módena Carrefour 250 ml.;1.35
Pasta macarrones de maíz y arroz Classic Carrefour No Gluten sin gluten 500 g.;2.05
Salsa mexicana suave Old El Paso tarro 312 g.;3.85
Pasta fideo Gallo sin gluten y sin lactosa 450 g.;2.49
Salsa Lea & Perrins botella 150 g.;3.59
Orégano hoja Carrefour Classic 82 g.;3.39
Aceite de girasol Carrefour garrafa 5 l.;1.66
Tortiglioni Carrefour 500 g.;1.4
Azafrán en hebra Classic Carrefour 0,4 g.;1.95
Vino blanco con crianza Pedro Ximénez para cocinar aromatizado con hierbas Carrefour 75 cl.;2.35
Tomillo Classic Carrefour 18 g.;0.79
Garbanzos con espinacas Classic Carrefour 350 g.;1.14
Arroz grueso para paella categoría extra La Fallera 1 kg.;2.65
Kétchup picante Classic Carrefour envase 340 g.;1.41
Pasta fresca ravioli jamón y queso Rana 250 g.;3.59
Mayonesa Musa sin gluten tarro 450 ml.;2.05
Salsa burger Hellmann's envase 250 ml.;2.35
Tomate frito estilo casero Solís sin gluten pack 3 latas de 100 g.;2.15
Kétchup 50% menos azúcar y sal Heinz envase 550 g.;3.95
Semillas de lino dorado ecológicas Carrefour Bio 250 g.;1.66
Hélices de garbanzo Gallo Nature sin gluten 250 g.;2.09
Molinillo sazonador 5 pimientas Classic Carrefour 40 g.;2.09
Pasta hélices con tomate y espinacas especial ensaladas Gallo 450 g.;1.84
Harina especial para bizcochos Gallo 1 kg.;1.94
Mostaza Cero Prima sin gluten y sin azúcar añadido envase 265 g.;3.29
Curry Classic Carrefour 45 g.;0.91
Pasta de letras Gallo 450 g.;1.44
Aceite de oliva virgen extra arbequina Carbonell 1 l.;8.29
Plumas Gallo sin gluten 450 g.;2.49
Alubia riñón cocida categoría extra De Nuestra Tierra 400 g.;1.69
Sal marina gruesa para cocinar a la sal Carrefour Classic' 2,5 kg.;0.62
Espaguetis al huevo Carrefour 500 g.;1.25
Salsa barbacoa Heinz envase 400 ml.;3.89
Salsa agridulce Yang Tse botella 200 g.;1.88
Garbanzos cocidos ecológicos Carrefour Bio sin sal añadida 400 g.;3.09
Harina de trigo ecológica Carrefour Bio 1 kg.;2.19
Salsa burger Carrefour envase 350 g.;1.83
Arroz para paella Sos 1 kg.;3.89
Tomate frito con aceite de oliva virgen extra Orlando sin gluten pack de 3 briks de 212 g.;3.25
Lenteja categoría extra Luengo 1 kg.;3.79
Pasta estrellas Gallo 450 g.;1.44
Arroz redondo Sos 2 kg.;1.87
Mayonesa Prima sin gluten envase 400 ml.;2.35
Mayonesa Ajonesa Chovi envase 400 ml.;3.39
Salsa cheddar con bacon Orlando envase 245 g.;2.35
Quinoa blanca y roja para microondas Brillante pack de 2 unidades de 125 g.;1.75
Colorante alimentario Carmencita sin gluten 65 g.;2.09
Aceite de oliva virgen extra intenso Coosur 1 l.;8.89
Kétchup Heinz envase 220 ml.;2.45
Tomate frito casero Hida pack de 2 unidades de 460 g.;3.79
Pasta piñones Gallo 450 g.;1.44
Pajaritas con tomate y espinacas Gallo 450 g.;1.84
Tortellini de carne al huevo Gallo 500 g.;3.35
Albahaca en hoja Classic Carrefour 15 g.;0.94
Vinagre balsámico de módena Carrefour 500 ml.;2.45
Pasta espaguetis integrales Barilla 500 g.;2.15
Pasta spaghettini al huevo Gallo Selección 1946 450 g.;1.82
Sazonador para pollo de hierbas provenzales Jugoso al Horno Maggi 34 g.;1.19
Pasta fresca ravioli pollo asado Rana 250 g.;3.89
Tomate frito Orlando sin gluten lata 400 g.;1.46
Arroz para caldosos Sos 500 g.;1.67
Crema de cacahuete suave alta en fibra y proteína Prozis 500 g.;4.95
Mayonesa en bolsitas Prima sin gluten doy pack 12 ud.;2.25
Canela en rama Carrefour 18 g.;1.6
Garbanzo categoría extra Luengo 1 kg.;4.39
Tomate frito Solis sin gluten pack 3 brik de 200 g.;1.8
Pasta espaguetis de maíz y arroz Classic Carrefour No Gluten sin gluten 500 g.;2.05
Salsa arrabbiata Barilla tarro 400 g.;3.15
Raviolis de trufa blanca, setas y queso Rana Gourmet 250 g.;4.69
Salsa ranchera Sensation Carreofur sin gluten bote 300 g.;1.62
Mostaza Hellmann's sin gluten envase 250 ml.;2.35
Mayonesa Kraft sin gluten tarro 275 ml.;2.15
Salsa napolitana Barilla sin gluten tarro 400 g.;3.15
Vitamina C con zinc sabor naranja en comprimidos efervescentes Pronutri 20 ud.;1.95
Raviolis de queso de cabra y cebolla caramelizada Rana Gourmet 250 g.;4.69
Kétchup Heinz envase 342 g.;2.89
Salvado de avena Carrefour 500 g.;1.65
Harina de espelta integral Carrefour 1 kg.;1.45
Hierbas provenzales Carrefour Classic 16 g.;0.78
Tomate frito estilo casero Solis sin gluten pack de 3 briks de 200 g.;3.99
Salsa cocktail Ybarra tarro 450 g.;2.65
Vinagre de vino tinto Carrefour 1 l.;0.89
Pimienta de cayena entera Carrefour 15 g.;0.77
Harina de maiz fina sin gluten Carrefour 400 g.;1.2
Cebolla frita crujiente Sensation Carrefour 150 g.;1.15
Mostaza a la antigua Maille tarro 210 g.;4.05
Valeriana con limón en bolsitas Pompadour 20 ud.;2.79
Placas para lasaña y canelones Gallo sin gluten 250 g.;3.05
Pisto Classi´c Carrefour Classic´sin gruten frasco 550 g.;1.99
Tomate frito con cebolla Classic Carrefour sin gluten 560 g.;1.99
Espirales de tomate y espinacas pasta fina Gallo 400 g.;1.47
Arroz largo Sos 1 kg.;2.35
Salsa de ostras Yang-Tse botella 150 ml.;2.95
Hélices vegetales de tomate y espinaca Gallo 675 g.;2.25
Pasta fresca ravioli 4 quesos Rana 250 g.;3.59
Sazonador para pollo sabor ajillo con toque de perejil Jugoso al Horno Maggi 36 g.;1.19
Salsa barbacoa Cero Prima sin gluten y sin azúcar añadido envase 510 g.;4.75
Lenteja roja La Cochura 500 g.;1.93
Alubia morada Luengo 1 kg.;4.25
Salsa sriracha mayo hot chilli Go-Tan envase 215 ml.;3.79
Sazonador para burritos Old El Paso 45 g.;1.45
Pasta Capellini nº 1 Barilla 500 g.;1.88
Pasta maccheronni al huevo Gallo 450 g.;1.82
Alubia pinta categoría extra Luengo 1 kg.;4.39
Harina de garbanzo Carrefour sin gluten 500 g.;1.99
Salsa guacamole suave Old El Paso tarro 320 g.;3.85
Garbanzos con verduras cocidas Carrefour 400 g.;1.17
Aceite de oliva virgen extra gran selección Carbonell 750 ml.;7.49
Vinagre de vino blanco Procer Carbonell 1 l.;1.37
Vinagre ecológico de manzana Carandini 500 ml.;4.39
Garbanzo pedrosillano categoría extra Luengo 1 kg.;3.79
Nuez moscada molida Carrefour Classic 45 g.;1.29
Pimienta negra molida Carmencita sin gluten 52 g.;2.99
Tagliatelle nido Garofalo 500 g.;2.79
Lenteja categoría extra ecológica Carrefour Bio 500 g.;1.82
Espelta hinchada ecologíco EcoCesta 125 g.;2.45
Espaguetis integrales Gallo Nature 450 g.;2.09
Espagueti italiano Carrefour 500 g.;1.4
Salsa alioli Chovi bote 400 ml.;3.49
Salsa cocktail Classic Carrefour sin gluten y sin lactosa 450 g.;1.37
Aceite de oliva virgen extra arbequina Coosur 1 l.;8.89
Perejil hoja Carrefour Classic 60 g.;2.99
Salsa picante Valentina envase 370 g.;3.49
Aceite de oliva virgen extra Dcoop 1 l.;8.99
Gnocchi Gallo 400 g.;1.7
Pasta Tiburones Gallo sin gluten y sin lactosa 450 g.;2.49
Barrita de chocolate con leche alta en proteínas Corny sin azúcar añadido 50 g.;1.99
