nombre;precio;volumen
Paté La piara Tapa Negra lata 225 g;3,49;(15,51 €/KILO)
Verduras braseadas Vegedia frasco 110 g;1,49;(13,55 €/KILO)
Paté suave La piara pack 2 x 75 g;1,50;(10,00 €/KILO)
Paté vegetal de papaya, manzana y curry Carlota Natural frasco 110 g;1,99;(18,09 €/KILO)
Bloc de foie de pato Capdevila lata 135 g;5,99;(44,37 €/KILO)
Paté de cerdo a la pimienta 2 unidades La cuina blister 100 g;1,29;(12,90 €/KILO)
Paté picante La piara lata 2 x 73 g;3,95;(27,05 €/KILO)
Paté de cerdo ibérico Argal lata 3 x 83 g;1,99;(7,99 €/KILO)
Paté vegetal de berenjena con semillas girasol Carlota Natural frasco 110 g;1,99;(18,09 €/KILO)
Foie gras de pato Martiko blister 40 g;2,79;(69,75 €/KILO)
Paté de atún La piara lata 150 g;3,99;(26,60 €/KILO)
Paté menos grasa La piara Tapa Negra lata 2 x 73 g;3,95;(27,05 €/KILO)
Paté de cerdo a las finas hierbas 2 unidades La cuina blister 100 g;1,29;(12,90 €/KILO)
Paté de cerdo original Argal lata 3 x 83 g;2,25;(9,04 €/KILO)
Paté de perdiz Gourmet cazorla frasco 110 g;1,95;(17,73 €/KILO)
Crema de pollo natural La piara lata 2 x 75 g;3,99;(26,60 €/KILO)
Paté de jamón Nuestra Alacena de Dia frasco 110 g;1,49;(13,55 €/KILO)
Paté de ciervo al pedro ximénez Gourmet cazorla frasco 110 g;1,95;(17,73 €/KILO)
Bloc paté de pato Sivore lata 150 g;3,49;(23,27 €/KILO)
Crema de atún La piara frasco 180 g;3,89;(21,61 €/KILO)
Paté con pedro ximénez La piara frasco 130 g;2,19;(16,85 €/KILO)
Surtido de patés Iberitos lata 3 x 80 g;2,95;(12,29 €/KILO)
Paté ibérico al oporto Gourmet cazorla frasco 110 g;1,95;(17,73 €/KILO)
Paté tapa negra ibérico La piara Tapa Negra lata 2 x 73 g;3,95;(27,05 €/KILO)
Salmón ahumado Selección Mundial de Dia sobre 100 g;3,80;(38,00 €/KILO)
Boquerones al vinagre con ajo y perejil MSC Mari Marinera de Dia bandeja 80 g;2,49;(31,13 €/KILO)
Filetes de anchoa del Cantábrico en aceite de girasol Mari Marinera de Dia pack 3 x 25 g;2,79;(37,20 €/KILO)
Boquerones al vinagre MSC Mari Marinera de Dia bandeja 80 g;2,39;(29,88 €/KILO)
Trucha ahumada Mari Marinera de Dia bandeja 100 g;3,69;(36,90 €/KILO)
Salmón ahumado Selección Mundial de Dia sobre 200 g;7,20;(36,00 €/KILO)
Anchoa del Cantábrico en aceite de oliva Mari Marinera de Dia pack 3 x 25 g;2,99;(39,87 €/KILO)
Filetes de sardina anchoada en salazón Kiele bandeja 50 g;1,89;(37,80 €/KILO)
Salmón ahumado reducido en sal Selección Mundial de Dia sobre 100 g;3,99;(39,90 €/KILO)
Huevas de capelán Royal frasco 50 g;1,99;(39,80 €/KILO)
Anchoas en aceite de oliva MSC Mari Marinera de Dia lata 50 g;3,89;(77,80 €/KILO)
Aceituna gordal rellena de boquerón del Cantábrico MSC Kiele bandeja 150 g;2,99;(19,93 €/KILO)
Bacalao desmigado desalado MSC Mari Marinera de Dia bandeja 250 g;4,79;(19,16 €/KILO)
Gilda de anchoa en aceite de girasol Leribe bandeja 175 g;3,49;(19,94 €/KILO)
Filetes de anchoa en aceite de girasol alto oleico Consorcio lata 23 g;2,45;(106,52 €/KILO)
Colas de langostino al ajillo Aguinamar bolsa 105 g;3,19;(30,38 €/KILO)
Filetón de bacalao salado MSC Selección Mundial de Dia bolsa 700 g;11,99;(17,13 €/KILO)
Bacalao ahumado Nuchar bandeja 80 g;3,69;(46,13 €/KILO)
Bacalao desmigado salado MSC Mari Marinera de Dia bandeja 250 g;4,99;(19,96 €/KILO)
Filetes de anchoa en aceite de oliva reducido sal MSC Mari Marinera de Dia lata 29 g;1,99;(68,62 €/KILO)
Palitos de surimi refrigeradas MSC Mari Marinera de Dia bolsa 300 g;1,89;(6,30 €/KILO)
Sucedáneo de angula refrigerado MSC Mari Marinera de Dia bandeja 200 g;2,79;(13,95 €/KILO)
Sucedáneo de angula con gambas refrigerado Mari Marinera de Dia bandeja 200 g;2,89;(14,45 €/KILO)
La Gula del Norte refrigerada La Gula del Norte bandeja 180 g;5,99;(33,28 €/KILO)
Palitos de surimi Krissia bolsa 180 g;2,99;(16,61 €/KILO)
Espinacas Vegecampo de Dia bolsa 300 g;1,35;(4,50 €/KILO)
Surtido vegetal bandeja 1 Kg aprox.;2,19;(2,19 €/KILO)
(14,50 €/KILO);Lechuga iceberg lavada Vegecampo de Dia bolsa 250 g;0,93 €
(3,72 €/KILO);Ensalada gourmet Vegecampo de Dia bolsa 175 g;1,13 €
(6,46 €/KILO);Ensalada 4 estaciones Vegecampo de Dia bolsa 250 g;0,83 €
(3,32 €/KILO);Maíz dulce cocido al vacío bolsa 400 g;1,59 €
(3,98 €/KILO);Verduras para microondas 3 ingredientes Vegecampo de Dia bolsa 300 g;1,75 €
(5,83 €/KILO);Canónigos Vegecampo de Dia bolsa 100 g;1,23 €
(12,30 €/KILO);Ensalada selección de brotes Vegecampo de Dia bolsa 100 g;1,23 €
(12,30 €/KILO);Ensalada variada Vegecampo de Dia bolsa 200 g;1,03 €
(5,15 €/KILO);Rúcula Vegecampo de Dia bolsa 50 g;0,83 €
(16,60 €/KILO);Brotes de espinaca baby Vegecampo de Dia bolsa 100 g;1,23 €
(12,30 €/KILO);Ensalada César Al Punto Dia bandeja 210 g;2,79 €
